#ipl z nelem cellwidth spacing xoffset scalex x0 x1 x2 costheta scaley y0 y1 y2 sintheta resolution p1x p1y p1z deltapx deltapy deltapz dp1x dp1y dp1z
37 1422.4 16 13 12.6825 0 203.238 -1.659 -103.278 99.96 1 152 -75.281 -151.281 0.719 -4e-06 0 -96.7787 -151.28 1422.27 0.00263919 151.998 0.763034 12.6825 -5.07298e-05 -0.0337608
38 1422.4 16 13 12.6825 0 203.238 -1.659 -103.278 99.96 1 152 76.82 0.82 152.82 -4e-06 0 -96.7787 0.821338 1422.27 0.00263919 151.998 0.763034 12.6825 -5.07298e-05 -0.0337608
39 1959.11 16 14.5875 14.27 0 227.518 -1.483 -115.242 112.276 0.999999 167.64 -83.962 -167.782 -0.142 -0.00145 0 -108.625 -167.626 1958.1 0.238951 167.639 0.630311 14.2697 -0.0206911 0.0933965
40 1959.11 16 14.5875 14.27 0 227.518 -1.483 -115.242 112.276 0.999999 167.64 83.678 -0.142 167.498 -0.00145 0 -108.625 0.0138605 1958.1 0.238951 167.639 0.630311 14.2697 -0.0206911 0.0933965
41 2146.36 16 23.4775 23.16 0 152.4 66.04 -10.16 142.24 0.00413632 365.797 0.376 -182.523 183.275 0.999991 0 142.953 173.755 2147.91 0 0 0 0 0 0
42 2131.01 16 23.4775 23.16 0 152.4 -66.04 -142.24 10.16 0.00111633 365.797 0.211 -182.688 183.109 0.999999 0 10.3549 173.825 2131.48 0 0 0 0 0 0
43 2216.83 16 23.4775 23.16 0 152.4 66.04 -10.16 142.24 0.00324632 365.797 -0.34 -183.238 182.559 0.999995 0 142.801 173.108 2218.11 0 0 0 0 0 0
44 2201.7 16 23.4775 23.16 0 152.4 -66.04 -142.24 10.16 0.00141633 365.797 -0.191 -183.089 182.708 0.999999 0 10.405 173.401 2202.19 0 0 0 0 0 0
45 2243.75 16 19.6475 19.33 0 304.518 -1.514 -153.773 150.745 0.99999 182.88 -91.697 -183.137 -0.257 0.00449998 0 -146.075 -183.786 2244.57 -0.824644 182.874 -1.25089 19.3298 0.0869846 -0.0263661
46 2243.75 16 19.6475 19.33 0 304.518 -1.514 -153.773 150.745 0.99999 182.88 91.183 -0.257 182.623 0.00449998 0 -146.075 -0.906316 2244.57 -0.824644 182.874 -1.25089 19.3298 0.0869846 -0.0263661
47 2098.13 72 4.7625 5.08 1.27 368.51 -0.897 -185.152 183.358 -0.000649445 368.3 0.196 -183.954 184.346 1 0 183.467 -178.754 2096.47 -368.502 -0.239322 2.44403 -0.0031976 5.07998 0.0125011
48 2102.53 72 4.7625 5.08 -1.27 368.51 -0.897 -185.152 183.358 -0.000649445 368.3 0.196 -183.954 184.346 1 0 183.468 -181.294 2100.86 -368.502 -0.239322 2.44403 -0.0031976 5.07998 0.0125011
49 2174.23 72 4.7625 5.08 1.27 368.3 -2.146 -186.296 182.004 1 368.555 -1.196 -185.474 183.082 0.000785398 0 -181.07 -185.613 2173.33 -0.290906 368.552 1.42801 5.08 0.00398982 0.00514243
50 2178.63 72 4.7625 5.08 -1.27 368.3 -2.146 -186.296 182.004 1 368.555 -1.196 -185.474 183.082 0.000785398 0 -183.61 -185.615 2177.73 -0.290906 368.552 1.42801 5.08 0.00398982 0.00514243
51 2367.04 72 4.7625 5.08 1.27 368.3 -2.954 -187.104 181.196 1 368.555 -1.158 -185.436 183.12 0.000785398 0 -182.169 -185.295 2367.28 0.289298 368.555 -0.276598 5.08 -0.00398982 -0.00301453
52 2371.44 72 4.7625 5.08 -1.27 368.3 -2.954 -187.104 181.196 1 368.555 -1.158 -185.436 183.12 0.000785398 0 -184.709 -185.293 2371.69 0.289298 368.555 -0.276598 5.08 -0.00398982 -0.00301453
53 2389.51 72 4.7625 5.08 1.27 368.59 -0.589 -184.884 183.706 0.000886445 368.3 0.211 -183.939 184.361 1 0 183.544 -179.021 2388.5 -368.588 0.326733 0.881329 0.00456036 5.07997 0.0161365
54 2393.91 72 4.7625 5.08 -1.27 368.59 -0.589 -184.884 183.706 0.000886445 368.3 0.211 -183.939 184.361 1 0 183.542 -181.561 2392.89 -368.588 0.326733 0.881329 0.00456036 5.07997 0.0161365
